,0
0,4329.75048828125
1,4328.72900390625
2,4327.30712890625
3,4326.125
4,4324.9599609375
5,4323.8095703125
6,4320.60205078125
7,4316.16015625
8,4312.28857421875
9,4306.69384765625
10,4301.6943359375
11,4296.15771484375
12,4290.92236328125
13,4285.8115234375
14,4280.845703125
15,4276.0302734375
16,4271.36669921875
17,4266.85400390625
18,4262.49169921875
19,4258.27880859375
20,4253.390625
21,4247.8798828125
22,4242.80859375
23,4237.87451171875
24,4233.10400390625
